smiles_std,molecule_chembl_id,p_tyk2_all,p_tyk2,tyk2_binned_only,domain,p_jak1_all,p_jak1,sel_jak1,p_jak2_all,p_jak2,sel_jak2,p_jak3_all,p_jak3,sel_jak3,n_jak_tested,min_selectivity,cross_assay
COc1ccc(-c2cc3c(N[C@H](CO)CC4CC4)c(C(N)=O)cnn3c2)cn1,CHEMBL4549451,6.92,6.92,False,Other,7.5,7.5,-0.5800000000000001,7.6,7.6,-0.6799999999999997,9.0,9.0,-2.08,3,-2.08,False
COc1ccc(-c2cc3c(N[C@H](CO)[C@@H](C)O)c(C(N)=O)cnn3c2)cn1,CHEMBL4547761,7.57,7.57,False,Other,8.22,8.22,-0.6500000000000004,7.24,7.24,0.33000000000000007,8.7,8.7,-1.129999999999999,3,-1.129999999999999,False
COc1ccc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(CC(F)(F)F)C4)n3)n2)cn1,CHEMBL5910291,7.1,7.1,False,Other,5.57,5.57,1.5299999999999994,6.04,6.04,1.0599999999999996,,,,2,1.0599999999999996,False
COc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,CHEMBL3360318,6.29,6.29,False,Other,7.16,7.16,-0.8700000000000001,6.86,6.86,-0.5700000000000003,6.28,6.28,0.009999999999999787,3,-0.8700000000000001,False
COc1ccc(-c2nc3c(NCC4CCNCC4)c(Cl)cnc3[nH]2)cc1OC,CHEMBL3747305,5.89,5.89,False,Other,7.685,7.685,-1.795,5.64,5.64,0.25,5.92,5.92,-0.03000000000000025,3,-1.795,False
COc1ccc(C#N)cc1-c1nn(CC2(O)CCCC2)cc1NC(=O)c1cnn2cccnc12,CHEMBL3667524,7.34,7.34,False,JH1,9.0,9.0,-1.6600000000000001,8.38,8.38,-1.040000000000001,6.16,6.16,1.1799999999999997,3,-1.6600000000000001,False
COc1ccc(C#N)cc1-c1nn(Cc2nncn2C)cc1NC(=O)c1cnn2cccnc12,CHEMBL3667517,7.19,7.19,False,JH1,8.38,8.38,-1.1900000000000004,8.59,8.59,-1.3999999999999995,6.68,6.68,0.5100000000000007,3,-1.3999999999999995,False
COc1ccc(C(=O)Nc2ccncc2)c(Cl)c1,CHEMBL2420857,5.5,5.5,False,Other,,,,5.51,5.51,-0.009999999999999787,,,,1,-0.009999999999999787,False
COc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)cc1OC,CHEMBL1991078,7.7,7.7,False,Other,,,,6.9,6.9,0.7999999999999998,6.0,6.0,1.7000000000000002,2,0.7999999999999998,False
COc1ccc(C(O)(CN[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C(F)(F)F)cc1,CHEMBL3953381,6.68,6.68,False,Other,8.92,8.92,-2.24,7.6,7.6,-0.9199999999999999,6.58,6.58,0.09999999999999964,3,-2.24,False
COc1ccc(C(O)(CN[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C(F)(F)F)cc1OC,CHEMBL3949248,6.44,6.44,False,Other,8.62,8.62,-2.179999999999999,7.05,7.05,-0.6099999999999994,6.28,6.28,0.16000000000000014,3,-2.179999999999999,False
COc1ccc(C(O)(CN[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C(F)(F)F)cn1,CHEMBL3985391,6.75,6.75,False,Other,8.72,8.72,-1.9700000000000006,7.5,7.5,-0.75,6.92,6.92,-0.16999999999999993,3,-1.9700000000000006,False
COc1ccc(C=NNc2ncnc3c2[nH]c2ccccc23)cc1OC,CHEMBL1974664,6.5,6.5,False,Other,,,,,,,,,,0,,False
COc1ccc(CNC[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)cc1,CHEMBL3919050,8.32,8.32,False,Other,7.92,7.92,0.40000000000000036,7.0,7.0,1.3200000000000003,6.12,6.12,2.2,3,0.40000000000000036,False
COc1ccc(CNc2nc(-c3c(F)cccc3F)nc3c2C(=O)NC3)cc1,CHEMBL5944161,7.26,7.26,False,Other,,,,6.26,,,,,,0,,False
COc1ccc(Cl)c(C(=O)Nc2ccncc2)c1,CHEMBL2420853,5.55,5.55,False,Other,,,,,,,,,,0,,False
COc1ccc(Cl)c(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c1,CHEMBL5860840,8.49,8.49,False,Other,10.11,10.11,-1.6199999999999992,9.19,9.19,-0.6999999999999993,8.0,8.0,0.4900000000000002,3,-1.6199999999999992,False
COc1ccc(Cl)cc1-c1c(NC(=O)c2c(N)nn3cccnc23)cnn1CC(N)=O,CHEMBL3667521,8.64,8.64,False,JH1,8.68,8.68,-0.03999999999999915,9.3,9.3,-0.6600000000000001,8.26,8.26,0.3800000000000008,3,-0.6600000000000001,False
COc1ccc(Cl)cc1-c1c(NC(=O)c2cnn3cccnc23)cnn1CCO,CHEMBL3667515,8.25,8.25,False,JH1,8.36,8.36,-0.10999999999999943,9.0,9.0,-0.75,7.75,7.75,0.5,3,-0.75,False
COc1ccc(Cl)cc1-c1nc(C)sc1NC(=O)c1cnn2cccnc12,CHEMBL3667519,8.68,8.68,False,JH1,9.075,9.075,-0.3949999999999996,9.375,9.375,-0.6950000000000003,7.89,7.89,0.79,3,-0.6950000000000003,False
COc1ccc(Cl)cc1-c1nn(CC(=O)N2CC=CCC2)cc1NC(=O)c1cnn2cccnc12,CHEMBL3667523,8.0,8.0,False,JH1,9.3,9.3,-1.3000000000000007,8.6,8.6,-0.5999999999999996,6.77,6.77,1.2300000000000004,3,-1.3000000000000007,False
COc1ccc(Cl)cc1-c1nn(CC(=O)N2CCCC2C)cc1NC(=O)c1cnn2cccnc12,CHEMBL3667522,8.04,8.04,False,JH1,9.15,9.15,-1.1100000000000012,8.51,8.51,-0.47000000000000064,6.57,6.57,1.4699999999999989,3,-1.1100000000000012,False
COc1ccc(Cl)cc1-c1nn(CC(O)(C(F)(F)F)C(F)(F)F)cc1NC(=O)c1cnn2cccnc12,CHEMBL3639663,7.51,7.51,False,JH1,8.82,8.82,-1.3100000000000005,8.24,8.24,-0.7300000000000004,6.24,6.24,1.2699999999999996,3,-1.3100000000000005,False
COc1ccc(F)c(-c2nc3c(NCC4CCNCC4)c(Cl)cnc3[nH]2)c1,CHEMBL3745954,4.94,4.94,False,Other,7.215,7.215,-2.2749999999999995,4.88,4.88,0.0600000000000005,5.21,5.21,-0.2699999999999996,3,-2.2749999999999995,False
COc1ccc(F)c(Cl)c1C(C)Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N,CHEMBL4461078,6.11,6.11,False,Other,5.91,5.91,0.20000000000000018,7.58,7.58,-1.4699999999999998,5.75,5.75,0.3600000000000003,3,-1.4699999999999998,False
COc1ccc(F)cc1-c1nn(CC2(O)CCOCC2)cc1NC(=O)c1cnn2cccnc12,CHEMBL3667525,7.33,7.33,False,JH1,8.64,8.64,-1.3100000000000005,8.21,8.21,-0.8800000000000008,6.15,6.15,1.1799999999999997,3,-1.3100000000000005,False
COc1ccc(F)cc1C(C)Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N,CHEMBL4465076,6.1,6.1,False,Other,5.75,5.75,0.34999999999999964,8.52,8.52,-2.42,5.8,5.8,0.2999999999999998,3,-2.42,False
COc1ccc(F)cc1S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,CHEMBL5780479,8.94,8.94,False,Other,10.49,10.49,-1.5500000000000007,9.51,9.51,-0.5700000000000003,8.0,8.0,0.9399999999999995,3,-1.5500000000000007,False
COc1ccc(Nc2cc(-c3c(F)cccc3F)nc3c2C(=O)N[C@H]3C)nc1,CHEMBL6019573,6.26,,True,Other,,,,,,,,,,0,,False
COc1ccc(Nc2nc(-c3c(F)cccc3F)nc3c2C(=O)NC3)cc1,CHEMBL5207378,8.07,8.07,False,JH1,,,,,,,,,,0,,False
COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1,CHEMBL5075516,7.04,7.04,False,Other,6.69,6.69,0.34999999999999964,,,,,,,1,0.34999999999999964,False
COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1F,CHEMBL5087106,7.77,7.77,False,Other,7.32,7.32,0.4499999999999993,6.78,6.78,0.9899999999999993,6.48,6.48,1.2899999999999991,3,0.4499999999999993,False
COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1N,CHEMBL5075281,7.92,7.92,False,Other,7.82,7.82,0.09999999999999964,6.45,6.45,1.4699999999999998,6.32,6.32,1.5999999999999996,3,0.09999999999999964,False
COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1OC,CHEMBL5076178,7.05,7.05,False,Other,6.56,6.56,0.4900000000000002,6.44,6.44,0.6099999999999994,,,,2,0.4900000000000002,False
COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C(F)(F)F)n1,CHEMBL6031741,9.39,9.39,False,Other,10.96,10.96,-1.5700000000000003,9.72,9.72,-0.33000000000000007,8.0,8.0,1.3900000000000006,3,-1.5700000000000003,False
COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,CHEMBL6065435,9.41,9.41,False,Other,10.85,10.85,-1.4399999999999995,9.59,9.59,-0.17999999999999972,8.0,8.0,1.4100000000000001,3,-1.4399999999999995,False
COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(F)c1,CHEMBL6052369,9.07,9.07,False,Other,10.74,10.74,-1.67,9.4,9.4,-0.33000000000000007,8.0,8.0,1.0700000000000003,3,-1.67,False
COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cc1,CHEMBL5784853,9.22,9.22,False,Other,10.82,10.82,-1.5999999999999996,9.64,9.64,-0.41999999999999993,8.0,8.0,1.2200000000000006,3,-1.5999999999999996,False
